Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1591893374.322083,10.0.2.15,54230,10.0.2.4,80,tcp,http,13.653779,132,493,SF,7,5,0,46,46,71,0,71,71,71,64,64,1,311,1,68,152,4302.0,5973,2637148733,4021871692
1591893374.322773,10.0.2.15,54232,10.0.2.4,80,tcp,http,13.652976,132,493,SF,7,5,0,47,47,72,0,72,72,72,64,64,1,311,1,68,152,4302.0,5973,4002612324,4101845191
1591893374.323394,10.0.2.15,54234,10.0.2.4,80,tcp,http,13.652357,132,493,SF,7,5,0,48,48,73,0,73,73,73,64,64,1,311,1,68,152,4302.0,5973,2507561607,460760216
1591893374.323898,10.0.2.15,54236,10.0.2.4,80,tcp,http,13.651854,133,493,SF,7,5,0,49,49,74,0,74,74,74,64,64,1,311,1,68,152,4302.0,5973,126758126,562633083
1591893374.324297,10.0.2.15,54238,10.0.2.4,80,tcp,http,13.659880,132,493,SF,7,5,0,50,50,75,0,75,75,75,64,64,1,311,1,68,152,4302.0,5973,3047808831,2305446023
1591893374.324713,10.0.2.15,54240,10.0.2.4,80,tcp,http,13.651035,133,493,SF,7,5,0,51,51,76,0,76,76,76,64,64,1,311,1,68,152,4302.0,5973,2544861248,2940089531
1591893374.325369,10.0.2.15,54242,10.0.2.4,80,tcp,http,13.658745,133,493,SF,7,5,0,52,52,77,0,77,77,77,64,64,1,311,1,68,152,4302.0,5973,2138036427,1519159202
1591893374.325891,10.0.2.15,54244,10.0.2.4,80,tcp,http,13.649856,133,493,SF,7,5,0,53,53,78,0,78,78,78,64,64,1,311,1,68,152,4302.0,5973,1370290125,857210020
1591893374.3282151,10.0.2.15,54246,10.0.2.4,80,tcp,http,13.655837,133,493,SF,7,5,0,54,54,79,0,79,79,79,64,64,1,311,1,68,152,4302.0,5973,742318429,2119101220
1591893374.328623,10.0.2.15,54248,10.0.2.4,80,tcp,http,13.647121,133,493,SF,7,5,0,55,55,80,0,80,80,80,64,64,1,311,1,68,152,4302.0,5973,183195455,855777088
1591893374.329104,10.0.2.15,54250,10.0.2.4,80,tcp,http,13.654601,132,493,SF,7,5,0,56,56,81,0,81,81,81,64,64,1,311,1,68,152,4302.0,5973,2733710052,1342173860
